address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
245 10th Ave APT 3E,New York,NY,10001,2645000,1491.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/245-10th-Ave-APT-3E-New-York-NY-10001/2090148571_zpid/
252 7th Ave APT 8A,NEW YORK,NY,10001,2795000,2066.0,2.0,2.0,18,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-7th-Ave-APT-8A-New-York-NY-10001/55501476_zpid/
1200 Broadway APT 7A,New York,NY,10001,2499999,2071.0,2.0,2.0,30,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/1200-Broadway-APT-7A-New-York-NY-10001/244734202_zpid/
252 7th Ave APT 5T,NEW YORK,NY,10001,2375000,1140.0,1.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-7th-Ave-APT-5T-New-York-NY-10001/55501415_zpid/
11 W 30th St APT 11F,New York,NY,10001,3250000,2400.0,3.0,2.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/11-W-30th-St-APT-11F-New-York-NY-10001/119916858_zpid/
250 W 27th St APT 3J,New York,NY,10001,775000,NA,1.0,1.0,14,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/250-W-27th-St-APT-3J-New-York-NY-10001/119912035_zpid/
143 W 27th St APT 3F,New York,NY,10001,2790000,2064.0,3.0,2.0,18,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/143-W-27th-St-APT-3F-New-York-NY-10001/123128586_zpid/
420 W 25th St APT 3A,NEW YORK,NY,10001,1685000,1240.0,1.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/420-W-25th-St-APT-3A-New-York-NY-10001/83933235_zpid/
315 7th Ave APT 17C,NEW YORK,NY,10001,1295000,612.0,0.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/315-7th-Ave-APT-17C-New-York-NY-10001/31503949_zpid/
540 W 28th St APT 6E,NEW YORK,NY,10001,1375000,776.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/540-W-28th-St-APT-6E-New-York-NY-10001/112089013_zpid/
225 W 25th St APT 2A,New York,NY,10001,879000,700.0,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/225-W-25th-St-APT-2A-New-York-NY-10001/80622562_zpid/
15 Hudson Yards # PH88B,New York,NY,10001,32000000,5161.0,4.0,7.0,100,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-PH88B-New-York-NY-10001/2091275868_zpid/
