,address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
264,20 E 10th St,NEW YORK,NY,10003,22900000.0,10100.0,6.0,7.0,64.0,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/20-E-10th-St-New-York-NY-10003/31498532_zpid/
265,65 Irving Pl,New York,NY,10003,23000000.0,8573.0,2.0,4.0,63.0,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/65-Irving-Pl-New-York-NY-10003/2136558538_zpid/
266,1 5th Ave # 18,New York,NY,10003,9995000.0,,4.0,4.0,42.0,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/1-5th-Ave-18-New-York-NY-10003/2090380523_zpid/
267,137 E 15th St,NEW YORK,NY,10003,1945000.0,,2.0,2.0,,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/137-E-15th-St-New-York-NY-10003/31506389_zpid/
268,45 E 9th St # 47/48,New York,NY,10003,8250000.0,3000.0,4.0,4.0,,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/45-E-9th-St-47-48-New-York-NY-10003/2105804461_zpid/
269,18 Gramercy Park S APT 15,NEW YORK,NY,10003,19250000.0,4207.0,4.0,6.0,45.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/18-Gramercy-Park-S-APT-15-New-York-NY-10003/122272741_zpid/
270,58 3rd Ave,NEW YORK,NY,10003,10500000.0,6305.0,4.0,1.0,92.0,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/58-3rd-Ave-New-York-NY-10003/31498263_zpid/
271,240 Park Ave S APT 9A,NEW YORK,NY,10003,9995000.0,3920.0,5.0,5.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/240-Park-Ave-S-APT-9A-New-York-NY-10003/89333753_zpid/
272,135 E 15th St,NEW YORK,NY,10003,17800000.0,8524.0,8.0,10.0,241.0,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/135-E-15th-St-New-York-NY-10003/118327948_zpid/
273,18-22 E 18th St # 4E,Manhattan,NY,10003,4250000.0,3000.0,3.0,2.0,,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/18-22-E-18th-St-4E-Manhattan-NY-10003/2090561427_zpid/
274,18 Gramercy Park South # FL 15TH,New York,NY,10003,19250000.0,4207.0,4.0,6.0,45.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/18-Gramercy-Park-South-FL-15TH-New-York-NY-10003/2090429917_zpid/
275,327 E 9th St,NEW YORK,NY,10003,17000000.0,8323.0,10.0,8.0,147.0,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/327-E-9th-St-New-York-NY-10003/122272395_zpid/
276,36 Gramercy Park E APT 7W,NEW YORK,NY,10003,3899000.0,1285.0,2.0,2.0,473.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/36-Gramercy-Park-E-APT-7W-New-York-NY-10003/112515319_zpid/
277,8 E 12th St APT 2,NEW YORK,NY,10003,3995000.0,2300.0,2.0,3.0,37.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/8-E-12th-St-APT-2-New-York-NY-10003/31498590_zpid/
278,11 5th Ave # 15OP,New York,NY,10003,4999000.0,2200.0,3.0,3.0,59.0,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/11-5th-Ave-15OP-New-York-NY-10003/2090656216_zpid/
279,21 E 12th St # 16C,New York,NY,10003,6225000.0,2028.0,2.0,3.0,353.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/21-E-12th-St-16C-New-York-NY-10003/2094140902_zpid/
